,en,ko,type
4323,workplace,직장,noun
4324,ambition,큰 뜻,noun
4325,touchdown,접지,noun
4327,breeze,미풍,noun
4330,Christianity,기독교,noun
4333,translation,번역,noun
4338,gut,배짱,noun
4344,booth,노점,noun
4345,helmet,헬멧,noun
4346,waist,허리,noun
4348,lion,사자,noun
4349,accomplishment,완수,noun
4351,panic,공황,noun
4352,cast,깁스,noun
4355,cliff,낭떠러지,noun
4357,cord,코드,noun
4359,cocaine,코카인,noun
4360,illusion,환각,noun
4363,appreciation,감사,noun
4364,commissioner,위원,noun
4366,flexibility,유연성,noun
4369,casino,카지노,noun
4370,tumor,종양,noun
4374,pulse,맥박,noun
4375,equivalent,동등한,noun
4378,donation,기부,noun
4379,diary,다이어리,noun
4380,sibling,형제자매,noun
4381,irony,반어,noun
4382,spoon,숟가락,noun
4383,midst,한가운데,noun
4384,alley,골목,noun
4387,soap,비누,noun
4389,rival,경쟁자,noun
4392,pin,핀,noun
4393,hockey,하키,noun
4396,supplier,공급 업체,noun
4398,momentum,기세,noun
4399,purse,지갑,noun
4401,liquid,액체,noun
4402,icon,상,noun
4403,elephant,코끼리,noun
4405,legislature,입법부,noun
4406,associate,연관짓다,noun
4407,franchise,독점 판매권,noun
4411,bicycle,자전거,noun
4416,fever,열,noun
4417,filter,필터,noun
4418,rabbit,토끼,noun
4419,coin,동전,noun
4422,organism,유기체,noun
4423,sensation,감각,noun
4425,stay,머무르다,noun
4428,minimum,최저한의,noun
4430,conservation,보존,noun
4432,backyard,뒤뜰,noun
4433,charter,전세,noun
4434,stove,난로,noun
4435,consent,동의,noun
4437,reminder,알림,noun
4439,placement,놓기,noun
4440,dough,반죽,noun
4441,grandchild,손자,noun
4442,dam,댐,noun
4447,outfit,차림새,noun
4449,columnist,칼럼니스트,noun
4450,workout,운동하다,noun
4452,patent,특허,noun
4454,quote,인용하다,noun
4455,trash,쓰레기,noun
4459,hormone,호르몬,noun
4460,texture,조직,noun
4462,pencil,연필,noun
4464,frontier,국경 지방,noun
4465,spray,스프레이,noun
4466,bet,내기,noun
4468,custody,보관,noun
4469,banker,은행가,noun
4470,beast,짐승,noun
4472,oak,오크,noun
4475,notebook,공책,noun
4478,attendance,출석,noun
4479,speculation,추측,noun
4483,shark,상어,noun
4485,mill,밀,noun
4486,installation,설치,noun
4488,tag,꼬리표,noun
4490,swimming,수영,noun
4491,fleet,함대,noun
4492,catalog,목록,noun
4493,outsider,문외한,noun
4496,stance,위치,noun
4498,sensitivity,감광도,noun
4501,debut,데뷔,noun
4506,confrontation,직면,noun
4508,ideal,이상적인,noun
4509,constitution,헌법,noun
4510,trainer,훈련자,noun
4511,Thanksgiving,추수 감사절,noun
4512,scent,향기,noun
4513,stack,스택,noun
4514,eyebrow,눈썹,noun
4515,sack,해고,noun
4518,tray,쟁반,noun
4519,pioneer,개척자,noun
4521,textbook,교과서,noun
4527,dot,점,noun
4528,wheat,밀,noun
4532,kingdom,왕국,noun
4533,aisle,통로,noun
4535,protocol,규약,noun
4538,marketplace,시장,noun
4541,terrain,지역,noun
4544,pasta,파스타,noun
4545,genre,장르,noun
4547,merit,장점,noun
4548,planner,입안자,noun
4550,chunk,큰 덩어리,noun
4552,discount,할인,noun
4554,ladder,사다리,noun
4555,jungle,밀림,noun
4556,migration,이주,noun
4557,breathing,호흡,noun
4559,hurricane,허리케인,noun
4560,retailer,소매 업체,noun
4563,coup,일격,noun
4565,ambassador,대사,noun
4566,density,밀도,noun
4568,curiosity,호기심,noun
4570,aggression,침략,noun
4571,stimulus,자극제,noun
4572,journalism,저널리즘,noun
4573,robot,로봇,noun
4579,feather,깃털,noun
4580,sphere,구체,noun
4586,publicity,널리 알려짐,noun
4587,major,주요한,noun
4590,well-being,안녕,noun
4591,validity,타당성,noun
4592,ecosystem,생태계,noun
4595,collar,칼라,noun
4596,weed,잡초,noun
4597,compliance,규정 준수,noun
4598,streak,줄,noun
4601,builder,건축업자,noun
4602,glimpse,일견,noun
4603,premise,전제,noun
4604,specialty,전문,noun
4606,artifact,인공물,noun
4608,monkey,원숭이,noun
4609,mentor,멘토르,noun
4611,listener,경청자,noun
4612,lightning,번개,noun
4614,sleeve,소매,noun
4615,disappointment,실망,noun
4617,rib,늑골,noun
4620,debris,부스러기,noun
4622,rod,막대,noun
4624,liberal,선심 쓰는,noun
4625,ash,금연 건강 증진 협회,noun
4627,parish,교구,noun
4628,slavery,노예 제도,noun
4630,commodity,상품,noun
4631,cure,치유법,noun
4632,mineral,광물,noun
4633,hunger,굶주림,noun
4640,equality,평등,noun
4641,cemetery,묘지,noun
4642,harassment,괴롭힘,noun
4644,fame,명성,noun
4647,likelihood,있을 수 있는 일,noun
4648,carrot,당근,noun
4650,toll,통행료,noun
4651,rim,가장자리,noun
4658,wheelchair,바퀴 달린 의자,noun
4659,squad,분대,noun
4661,processor,프로세서,noun
4664,sponsor,스폰서,noun
4665,grin,이를 드러내고 웃다,noun
4669,chill,냉기,noun
4670,refuge,피난,noun
4672,legislator,입법자,noun
4673,rally,랠리,noun
4674,programming,프로그램 작성,noun
4676,outlet,콘센트,noun
4678,vendor,공급업체,noun
4680,peanut,땅콩,noun
4683,intellectual,지적인,noun
4684,conception,임신,noun
4685,auction,경매,noun
4686,steak,스테이크,noun
4688,triumph,승리,noun
4689,shareholder,주주,noun
4692,conscience,양심,noun
4693,calculation,계산,noun
4695,interval,간격,noun
4698,jurisdiction,관할권,noun
4701,constraint,강제,noun
4703,expedition,원정,noun
4707,similarity,유사성,noun
4708,butt,대상,noun
4709,lid,뚜껑,noun
4711,bulk,대부분,noun
4713,mortality,인류,noun
4715,conversion,변환,noun
4716,patron,후원자,noun
4719,liver,간,noun
4720,harmony,조화,noun
4722,tolerance,용인,noun
4723,instant,즉각적인,noun
4724,goat,염소,noun
4726,blessing,축복,noun
4727,banana,바나나,noun
4728,running,달리기,noun
4729,palace,궁전,noun
4731,peasant,농부,noun
4733,grandparent,조부모,noun
4734,lawmaker,입법자,noun
4735,supermarket,슈퍼마켓,noun
4736,cruise,크루즈,noun
4738,plain,솔직한,noun
4740,calendar,달력,noun
4741,widow,과부,noun
4742,deposit,보증금,noun
4743,beard,수염,noun
4744,brake,브레이크,noun
4746,screening,상영,noun
4747,impulse,충동,noun
4749,fur,털,noun
4751,predator,포식자,noun
4757,forum,법정,noun
4758,dancing,무용,noun
4761,removal,제거,noun
4762,autonomy,자치,noun
4765,thread,실,noun
4767,landmark,경계표,noun
4769,offender,범죄자,noun
4772,fraction,분수,noun
4774,tourism,관광 여행,noun
4775,threshold,한계점,noun
4778,suite,모음곡,noun
4780,regulator,조절기,noun
4781,straw,빨대,noun
4785,globe,지구,noun
4787,objection,반대,noun
4788,chemistry,화학,noun
4792,blast,폭발,noun
4795,denial,부정,noun
4796,rental,임대,noun
4798,fragment,파편,noun
4801,warmth,따뜻함,noun
4802,undergraduate,대학 재학생,noun
4804,headache,두통,noun
4805,policeman,경관,noun
4806,yield,생산하다,noun
4807,projection,투사,noun
4810,mention,언급하다,noun
4811,graduation,눈금,noun
4814,mansion,맨션,noun
4815,regard,관심,noun
4816,grape,포도,noun
4818,cottage,시골집,noun
4819,driveway,차도,noun
4820,charm,매력,noun
4821,sexuality,성별,noun
4823,clay,점토,noun
4825,balloon,풍선,noun
4826,invention,발명,noun
4827,ego,자아,noun
4828,fare,요금,noun
4829,homework,숙제,noun
4830,disc,디스크,noun
4831,sofa,소파,noun
4832,guarantee,보장하다,noun
4833,availability,유효성,noun
4834,radar,레이더,noun
4837,leave,떠나다,noun
4838,permit,허용하다,noun
4839,sweater,스웨터,noun
4840,rehabilitation,복권,noun
4842,retreat,후퇴,noun
4843,molecule,분자,noun
4850,youngster,어린이,noun
4852,premium,프리미엄,noun
4853,accountability,책임,noun
4860,fatigue,피로,noun
4863,marker,채점자,noun
4866,bucket,버킷,noun
4869,confession,고백,noun
4871,marble,대리석,noun
4873,twist,트위스트,noun
4874,defender,방어자,noun
4877,transport,수송,noun
4879,surveillance,감시,noun
4881,technician,기술자,noun
4885,arrow,화살,noun
4886,trauma,외상,noun
4889,ribbon,리본,noun
4890,meantime,그 동안에,noun
4893,harvest,수확하다,noun
4899,spy,스파이,noun
4900,slot,슬롯,noun
4901,riot,폭동,noun
4902,nutrient,영양소,noun
4903,citizenship,시민권,noun
4905,sovereignty,주권,noun
4906,ridge,산등성이,noun
4908,lighting,조명,noun
4910,contributor,기부자,noun
4915,transit,운송,noun
4917,seminar,세미나,noun
4918,electronics,전자 장치,noun
4920,shorts,반바지,noun
4922,accusation,고발,noun
4927,cue,큐,noun
4929,bride,신부,noun
4930,biography,전기,noun
4931,hazard,위험,noun
4934,tile,타일,noun
4941,foreigner,외국인,noun
4942,launch,시작하다,noun
4943,convenience,편의,noun
4944,delight,기쁨,noun
4946,timber,재목,noun
4949,plea,항변,noun
4950,bulb,구근,noun
4954,devil,악마,noun
4955,bolt,볼트,noun
4956,cargo,뱃짐,noun
4957,spine,척추,noun
4958,seller,파는 사람,noun
4963,dock,독,noun
4965,fog,안개,noun
4966,diplomat,외교관,noun
4969,summary,요약,noun
4970,missionary,전도사,noun
4971,epidemic,감염병 유행,noun
4974,warehouse,창고,noun
4976,butterfly,나비,noun
4977,bronze,청동,noun
4980,praise,칭찬,noun
4985,vacuum,진공,noun
4988,stereotype,스테레오,noun
4989,sensor,감지기,noun
4990,laundry,빨래,noun
4991,manual,수동,noun
4992,pistol,권총,noun
4994,plaintiff,원고,noun
4997,apology,사과,noun
